City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mataura,-46.19,168.86,51.03,60,70,7.11,NZ,1597106795
1,hermanus,-34.42,19.23,44.01,96,0,13.76,ZA,1597106795
2,busselton,-33.65,115.33,57.0,91,95,16.28,AU,1597106795
3,cape town,-33.93,18.42,57.99,87,20,11.41,ZA,1597106796
4,pokhara,28.23,83.98,74.57,75,92,0.47,NP,1597106796
5,bluff,-46.6,168.33,49.62,70,91,31.38,NZ,1597106795
6,svetlogorsk,52.63,29.73,60.78,90,29,3.56,BY,1597106796
7,yellowknife,62.46,-114.35,62.6,88,90,3.36,CA,1597106501
8,vila do maio,15.13,-23.22,78.8,74,20,14.99,CV,1597106797
9,avarua,-21.21,-159.78,73.4,64,14,11.41,CK,1597106721
10,great yarmouth,52.61,1.73,68.0,96,100,11.32,GB,1597106797
11,port alfred,-33.59,26.89,56.26,76,0,10.76,ZA,1597106798
12,ushuaia,-54.8,-68.3,32.0,93,40,13.87,AR,1597106599
13,gizo,-8.1,156.84,83.17,73,98,6.69,SB,1597106798
14,hilo,19.73,-155.09,80.01,83,90,10.29,US,1597106623
15,askino,56.09,56.58,50.2,92,58,10.58,RU,1597106798
16,albany,42.6,-73.97,73.99,69,3,3.51,US,1597106799
17,kununurra,-15.77,128.73,78.8,28,0,3.36,AU,1597106799
18,barrow,71.29,-156.79,42.8,87,90,10.29,US,1597106702
19,saldanha,-33.01,17.94,42.8,87,69,3.36,ZA,1597106800
20,narsaq,60.92,-46.05,48.2,39,88,8.05,GL,1597106800
21,esperance,-33.87,121.9,55.4,82,90,21.92,AU,1597106800
22,san cristobal,7.77,-72.22,67.48,93,100,2.73,VE,1597106801
23,rikitea,-23.12,-134.97,70.09,72,60,21.05,PF,1597106587
24,sovetskiy,61.36,63.58,52.25,89,100,13.69,RU,1597106801
25,alenquer,-1.94,-54.74,82.4,83,0,4.7,BR,1597106799
26,vanimo,-2.67,141.3,86.88,60,54,3.51,PG,1597106802
27,pisco,-13.7,-76.22,60.8,82,2,11.41,PE,1597106802
28,port hedland,-20.32,118.57,69.8,64,0,12.75,AU,1597106802
29,punta arenas,-53.15,-70.92,32.0,89,100,5.82,CL,1597106618
30,luderitz,-26.65,15.16,50.0,93,0,8.05,NA,1597106803
31,mahebourg,-20.41,57.7,60.8,87,75,6.93,MU,1597106803
32,saskylakh,71.92,114.08,52.32,51,100,4.52,RU,1597106803
33,itarema,-2.92,-39.92,78.15,81,0,15.61,BR,1597106803
34,muli,2.92,73.57,82.08,77,100,12.1,MV,1597106804
35,klaksvik,62.23,-6.59,53.6,100,46,5.82,FO,1597106804
36,carnarvon,-24.87,113.63,62.6,100,75,8.05,AU,1597106804
37,east london,-33.02,27.91,58.06,58,0,8.7,ZA,1597106804
38,oktyabrskoye,43.06,44.74,66.2,93,100,6.71,RU,1597106805
39,pathein,16.78,94.73,79.65,89,100,4.85,MM,1597106805
40,jamestown,42.1,-79.24,78.8,65,1,5.82,US,1597106805
41,lashio,22.93,97.75,70.3,99,100,1.32,MM,1597106806
42,ola,59.58,151.28,60.73,66,100,5.64,RU,1597106806
43,cap-aux-meules,47.38,-61.86,69.8,88,20,9.17,CA,1597106806
44,kirakira,-10.45,161.92,84.85,68,100,10.13,SB,1597106806
45,kodiak,57.79,-152.41,66.2,42,1,11.41,US,1597106807
46,tamworth,52.63,-1.7,69.8,77,41,6.93,GB,1597106807
47,tuktoyaktuk,69.45,-133.04,51.8,71,75,2.24,CA,1597106808
48,kapaa,22.08,-159.32,86.0,66,75,14.99,US,1597106808
49,north bend,43.41,-124.22,62.6,77,1,31.09,US,1597106808
50,kutum,14.2,24.67,69.48,74,87,8.46,SD,1597106808
51,lethem,3.38,-59.8,77.63,83,100,5.39,GY,1597106809
52,saint-pierre,-21.34,55.48,68.0,45,90,11.41,RE,1597106809
53,wangkui,46.83,126.5,72.64,85,63,10.96,CN,1597106809
54,arraial do cabo,-22.97,-42.03,71.08,84,0,25.41,BR,1597106809
55,namibe,-15.2,12.15,61.0,90,31,3.62,AO,1597106810
56,monywa,22.12,95.13,79.7,85,100,10.36,MM,1597106810
57,kirensk,57.79,108.11,71.65,49,12,3.85,RU,1597106810
58,zyryanka,65.75,150.85,45.57,86,100,10.25,RU,1597106810
59,kualakapuas,-3.01,114.39,77.0,94,20,4.7,ID,1597106811
60,hithadhoo,-0.6,73.08,82.18,79,100,11.21,MV,1597106811
61,elizabeth city,36.29,-76.25,80.6,83,1,3.36,US,1597106797
62,mar del plata,-38.0,-57.56,46.4,49,0,13.87,AR,1597106811
63,qaanaaq,77.48,-69.36,39.22,67,0,3.31,GL,1597106811
64,upernavik,72.79,-56.15,40.78,80,100,5.08,GL,1597106812
65,uchaly,54.3,59.45,53.64,93,76,8.7,RU,1597106812
66,hami,42.8,93.45,73.35,51,0,9.01,CN,1597106812
67,abilene,32.45,-99.73,100.4,25,1,16.11,US,1597106813
68,dikson,73.51,80.55,38.19,88,100,20.74,RU,1597106813
69,castro,-24.79,-50.01,57.16,66,0,4.34,BR,1597106813
70,laguna,38.42,-121.42,93.2,28,1,11.41,US,1597106519
71,manyana,-23.4,21.72,51.98,35,0,6.78,BW,1597106814
72,vestmannaeyjar,63.44,-20.27,52.57,97,100,16.33,IS,1597106814
73,ponta do sol,32.67,-17.1,73.4,64,20,8.05,PT,1597106814
74,vaini,-21.2,-175.2,77.0,73,40,9.17,TO,1597106814
75,hofn,64.25,-15.21,52.84,96,100,9.6,IS,1597106815
76,airai,-8.93,125.41,71.26,74,0,2.21,TL,1597106815
77,ternate,0.8,127.4,81.27,79,76,7.09,ID,1597106815
78,dingle,11.0,122.67,85.26,71,99,3.62,PH,1597106815
79,haines junction,60.75,-137.51,54.18,61,100,7.16,CA,1597106816
80,muzaffarabad,34.37,73.47,74.68,70,100,3.78,PK,1597106816
81,kiknur,57.3,47.2,48.74,87,9,2.93,RU,1597106816
82,yichang,30.71,111.28,81.0,84,93,1.99,CN,1597106816
83,guarapari,-20.67,-40.5,75.99,83,75,4.7,BR,1597106817
84,yar-sale,66.83,70.83,53.26,96,100,4.43,RU,1597106817
85,port elizabeth,-33.92,25.57,51.8,76,0,4.7,ZA,1597106817
86,kieta,-6.22,155.63,85.1,63,100,2.57,PG,1597106818
87,bredasdorp,-34.53,20.04,42.8,93,0,3.36,ZA,1597106818
88,ilulissat,69.22,-51.1,39.2,91,88,2.24,GL,1597106818
89,kaitangata,-46.28,169.85,55.0,47,1,5.01,NZ,1597106818
90,kapoeta,4.77,33.59,72.7,71,0,3.78,SS,1597106819
91,torbay,47.67,-52.73,69.8,68,75,13.87,CA,1597106819
92,puerto ayora,-0.74,-90.35,69.01,90,65,1.99,EC,1597106819
93,beringovskiy,63.05,179.32,60.33,65,99,6.49,RU,1597106819
94,butaritari,3.07,172.79,82.42,76,96,10.76,KI,1597106820
95,tiksi,71.69,128.87,41.86,72,80,12.88,RU,1597106820
96,hasaki,35.73,140.83,91.4,63,40,12.75,JP,1597106820
97,kavieng,-2.57,150.8,84.24,66,18,2.64,PG,1597106820
98,necochea,-38.55,-58.74,42.67,64,0,27.4,AR,1597106820
99,artyom,40.47,50.33,69.8,83,0,6.93,AZ,1597106821
100,lerwick,60.15,-1.15,55.4,93,85,5.82,GB,1597106821
101,port macquarie,-31.43,152.92,61.0,73,41,1.01,AU,1597106821
102,jaru,-10.44,-62.47,79.3,40,0,0.72,BR,1597106821
103,nadym,65.53,72.52,63.18,69,2,8.5,RU,1597106822
104,tasiilaq,65.61,-37.64,39.2,93,100,18.34,GL,1597106822
105,cabo san lucas,22.89,-109.91,84.2,70,75,18.34,MX,1597106630
106,bahia honda,22.9,-83.16,81.1,88,22,8.57,CU,1597106822
107,sandnessjoen,66.02,12.63,53.6,93,95,2.24,NO,1597106822
108,baoma,31.49,106.11,81.59,84,100,7.18,CN,1597106823
109,ambon,-3.7,128.18,80.6,78,75,4.7,ID,1597106752
110,gwadar,25.12,62.33,84.83,84,100,8.16,PK,1597106823
111,nizhniy tsasuchey,50.52,115.13,63.84,81,100,9.78,RU,1597106823
112,menongue,-14.66,17.69,52.11,44,0,2.28,AO,1597106824
113,fortuna,40.6,-124.16,64.0,82,1,6.93,US,1597106818
114,nikolskoye,59.7,30.79,57.2,71,75,11.18,RU,1597106824
115,pemangkat,1.17,108.97,81.34,80,100,4.47,ID,1597106824
116,port augusta,-32.5,137.77,57.2,62,90,23.04,AU,1597106825
117,lebu,-37.62,-73.65,44.47,73,0,11.52,CL,1597106825
118,ancud,-41.87,-73.82,37.4,93,20,4.7,CL,1597106825
119,phan thiet,10.93,108.1,81.37,80,100,8.39,VN,1597106535
120,litovko,49.24,135.17,71.28,90,100,3.78,RU,1597106826
121,luwuk,-0.95,122.79,82.4,72,53,5.06,ID,1597106826
122,sisimiut,66.94,-53.67,41.59,80,98,12.62,GL,1597106826
123,florianopolis,-27.61,-48.5,68.0,88,0,9.17,BR,1597106826
124,coquimbo,-29.95,-71.34,53.6,87,100,3.36,CL,1597106827
125,cabedelo,-6.98,-34.83,73.4,94,75,5.82,BR,1597106827
126,okakarara,-20.58,17.43,53.46,37,0,6.22,NA,1597106827
127,pevek,69.7,170.31,36.82,95,100,15.08,RU,1597106828
128,georgetown,5.41,100.34,82.4,88,20,2.24,MY,1597106597
129,ilo,-17.64,-71.34,57.51,79,55,3.8,PE,1597106828
130,vastseliina,57.73,27.29,50.0,87,0,4.47,EE,1597106828
131,bethel,41.37,-73.41,82.4,69,20,5.82,US,1597106545
132,avera,33.19,-82.53,73.4,80,1,8.05,US,1597106829
133,hirara,24.8,125.28,86.0,84,75,17.22,JP,1597106829
134,chokurdakh,70.63,147.92,46.96,56,91,9.24,RU,1597106829
135,hobart,-42.88,147.33,44.6,65,20,10.29,AU,1597106799
136,dalton,34.77,-84.97,75.2,88,1,3.33,US,1597106587
137,huarmey,-10.07,-78.15,61.05,81,2,7.45,PE,1597106830
138,bandarbeyla,9.49,50.81,75.65,64,61,32.44,SO,1597106830
139,sheridan,44.83,-106.92,87.8,18,1,1.79,US,1597106830
140,pitimbu,-7.47,-34.81,73.4,94,75,5.82,BR,1597106831
141,aurillac,44.92,2.45,64.99,77,100,8.05,FR,1597106685
142,rosarito,32.33,-117.03,73.99,69,5,12.75,MX,1597106831
143,chuy,-33.7,-53.46,53.38,84,100,8.34,UY,1597106832
144,acapulco,16.86,-99.89,86.0,74,75,8.05,MX,1597106584
145,sola,-13.88,167.55,84.2,74,40,5.82,VU,1597106832
146,povenets,62.85,34.83,51.89,90,100,20.69,RU,1597106832
147,sharjah,25.36,55.4,95.0,79,2,3.36,AE,1597106563
148,mount gambier,-37.83,140.77,53.6,71,100,18.34,AU,1597106833
149,seymour,38.96,-85.89,84.0,78,40,3.36,US,1597106833
150,ashland,40.82,-82.27,82.4,58,1,11.41,US,1597106566
151,waipawa,-41.41,175.52,59.0,67,14,20.8,NZ,1597106834
152,saint-philippe,-21.36,55.77,68.0,45,90,11.41,RE,1597106834
153,tiznit,29.58,-9.5,69.91,75,0,1.74,MA,1597106827
154,ust-kuyga,70.02,135.6,48.87,51,0,10.11,RU,1597106834
155,clyde river,70.47,-68.59,41.0,86,90,12.75,CA,1597106835
156,bambous virieux,-20.34,57.76,60.8,87,75,6.93,MU,1597106835
157,pangnirtung,66.15,-65.71,46.24,59,74,2.91,CA,1597106835
158,new norfolk,-42.78,147.06,43.0,84,96,1.01,AU,1597106836
159,fairbanks,64.84,-147.72,62.6,51,90,11.41,US,1597106618
160,lake cowichan,48.83,-124.05,75.2,47,40,6.93,CA,1597106836
161,faanui,-16.48,-151.75,77.99,64,0,5.79,PF,1597106836
162,bonoua,5.27,-3.6,75.2,94,20,5.82,CI,1597106837
163,japura,-0.32,102.35,78.96,86,98,2.26,ID,1597106837
164,lompoc,34.64,-120.46,68.0,68,1,12.75,US,1597106739
165,half moon bay,37.46,-122.43,78.8,87,90,10.29,US,1597106837
166,khatanga,71.97,102.5,49.41,62,12,4.94,RU,1597106838
167,togur,58.36,82.83,64.51,70,0,7.18,RU,1597106838
168,polyarnyy,69.2,33.45,48.2,93,40,4.47,RU,1597106838
169,dunmore town,25.5,-76.65,84.04,70,0,8.9,BS,1597106838
170,ostrovnoy,68.05,39.51,49.08,86,99,6.13,RU,1597106839
171,dire,12.28,-10.97,73.33,96,100,2.33,ML,1597106839
172,panzhihua,26.59,101.71,75.4,75,100,2.21,CN,1597106839
173,fuyu,45.18,124.82,77.97,58,33,9.8,CN,1597106839
174,buraydah,26.33,43.98,80.6,28,0,5.82,SA,1597106800
175,rocha,-34.48,-54.33,52.36,61,100,14.88,UY,1597106840
176,goulburn,-34.75,149.72,48.0,82,0,6.4,AU,1597106840
177,jumla,29.27,82.18,63.68,70,100,0.54,NP,1597106840
178,tuatapere,-46.13,167.68,51.75,58,91,9.95,NZ,1597106841
179,aripuana,-9.17,-60.63,78.49,38,0,0.87,BR,1597106841
180,saint-ambroise,48.55,-71.33,75.2,69,75,6.93,CA,1597106841
181,sinnamary,5.38,-52.95,78.96,83,33,9.1,GF,1597106842
182,sorland,67.67,12.69,44.6,93,99,1.12,NO,1597106842
183,lucea,18.45,-78.17,84.2,83,20,14.99,JM,1597106842
184,odweyne,9.41,45.06,73.33,59,73,11.99,SO,1597106842
185,margate,51.38,1.39,70.0,84,100,1.99,GB,1597106843
186,tokur,53.13,132.9,66.09,83,40,4.43,RU,1597106843
187,kismayo,-0.36,42.55,75.04,78,4,16.2,SO,1597106843
188,tezpur,26.63,92.8,79.86,90,100,1.52,IN,1597106843
189,canto do buriti,-8.11,-42.94,73.87,49,0,4.94,BR,1597106844
190,zhezkazgan,47.8,67.71,59.0,58,75,13.42,KZ,1597106844
191,stromness,58.97,-3.3,53.6,100,100,2.24,GB,1597106844
192,russell,32.35,-85.2,77.0,83,90,14.99,US,1597106751
193,gat,31.61,34.76,77.0,73,20,3.36,IL,1597106643
194,komsomolskiy,40.43,71.72,73.4,64,90,4.7,UZ,1597106845
195,yumen,40.28,97.2,72.86,25,100,22.03,CN,1597106845
196,sabang,5.89,95.32,83.79,76,72,16.33,ID,1597106845
197,yungay,-9.14,-77.74,60.93,43,42,2.21,PE,1597106845
198,lamu,-2.27,40.9,74.66,81,9,12.91,KE,1597106846
199,san jeronimo,-11.95,-75.28,52.3,60,82,1.74,PE,1597106846
200,provideniya,64.38,-173.3,51.8,87,90,8.95,RU,1597106846
201,rock sound,24.9,-76.2,83.52,71,0,10.63,BS,1597106846
202,erenhot,43.65,111.98,75.29,28,0,4.03,CN,1597106847
203,havoysund,71.0,24.66,50.0,81,100,10.29,NO,1597106847
204,mora,11.05,14.14,74.28,84,100,2.55,CM,1597106847
205,mogadishu,2.04,45.34,74.98,80,72,17.96,SO,1597106847
206,mayumba,-3.43,10.66,71.74,86,0,3.51,GA,1597106847
207,bilma,18.69,12.92,89.04,42,95,8.81,NE,1597106848
208,souillac,-20.52,57.52,60.8,87,75,6.93,MU,1597106848
209,adrar,20.5,-10.07,93.81,28,23,9.1,MR,1597106848
210,la ciotat,43.17,5.6,75.0,95,66,3.0,FR,1597106849
211,ratnagiri,16.98,73.3,78.24,85,100,4.65,IN,1597106668
212,luganville,-15.53,167.17,80.6,74,75,2.24,VU,1597106849
213,yulara,-25.24,130.99,64.4,77,3,9.17,AU,1597106849
214,penarroya-pueblonuevo,38.3,-5.27,80.6,61,4,3.36,ES,1597106850
215,kushiro,42.98,144.37,77.0,88,75,5.82,JP,1597106850
216,amaraji,-8.38,-35.45,75.2,83,40,11.41,BR,1597106850
217,maues,-3.38,-57.72,79.84,55,2,2.35,BR,1597106851
218,akyab,20.15,92.9,80.02,90,100,7.31,MM,1597106851
219,batagay-alyta,67.8,130.41,47.89,58,59,4.34,RU,1597106851
220,diffa,13.32,12.61,77.25,77,100,8.41,NE,1597106851
221,thompson,55.74,-97.86,60.8,82,75,11.41,CA,1597106741
222,geraldton,-28.77,114.6,59.0,87,75,11.41,AU,1597106583
223,fare,-16.7,-151.02,78.53,67,0,5.77,PF,1597106852
224,nioro,13.35,-15.75,74.14,96,100,4.94,GM,1597106852
225,norman wells,65.28,-126.83,64.4,82,75,3.36,CA,1597106852
226,eyl,7.98,49.82,76.06,60,100,30.29,SO,1597106853
227,laela,-8.57,32.05,53.11,54,0,3.74,TZ,1597106853
228,tongzi,28.78,105.09,85.01,77,100,3.15,CN,1597106853
229,taoudenni,22.68,-3.98,95.13,11,0,9.8,ML,1597106853
230,praia da vitoria,38.73,-27.07,69.8,83,20,11.61,PT,1597106854
231,richards bay,-28.78,32.04,58.44,67,0,5.53,ZA,1597106854
232,batagay,67.63,134.63,47.7,58,98,4.52,RU,1597106854
233,samara,53.0,50.0,55.4,82,40,8.95,RU,1597106854
234,praya,14.92,-23.51,78.8,74,20,14.99,CV,1597106686
235,gashua,12.87,11.05,74.97,86,97,11.54,NG,1597106855
236,emerald,-23.53,148.17,60.8,51,0,6.93,AU,1597106855
237,osa,57.28,55.46,47.23,87,0,8.12,RU,1597106855
238,kloulklubed,7.04,134.26,84.2,79,75,4.7,PW,1597106855
239,lorengau,-2.02,147.27,85.15,64,5,2.39,PG,1597106855
240,dickinson,29.46,-95.05,88.0,79,0,1.01,US,1597106856
241,abu zabad,12.35,29.25,74.61,84,100,9.69,SD,1597106856
242,maldonado,-34.67,-54.92,54.0,71,2,11.41,UY,1597106856
243,honningsvag,70.98,25.97,50.77,84,81,12.97,NO,1597106856
244,lasa,46.62,10.7,53.01,100,59,2.24,IT,1597106857
245,constitucion,-35.33,-72.42,47.05,58,0,17.18,CL,1597106857
246,atuona,-9.8,-139.03,79.38,65,0,17.92,PF,1597106857
247,changde,29.05,111.68,82.38,88,100,6.58,CN,1597106857
248,liverpool,53.41,-2.98,68.0,88,75,10.29,GB,1597106769
249,muros,42.78,-9.06,69.01,79,100,1.99,ES,1597106858
250,college,64.86,-147.8,62.6,51,90,12.75,US,1597106858
251,balangiga,11.11,125.39,84.85,71,32,7.18,PH,1597106858
252,broome,42.25,-75.83,73.99,83,1,4.61,US,1597106858
253,cidreira,-30.18,-50.21,66.87,73,0,5.57,BR,1597106858
254,olot,42.18,2.49,73.99,90,40,1.01,ES,1597106859
255,bukachacha,52.98,116.92,67.32,64,2,6.64,RU,1597106859
256,krasnyy chikoy,50.36,108.75,63.14,70,0,2.51,RU,1597106859
257,bayanday,53.07,105.51,64.45,65,53,1.77,RU,1597106859
258,taksimo,56.34,114.88,68.47,61,77,0.98,RU,1597106860
259,itoman,26.12,127.67,86.0,84,75,16.11,JP,1597106860
260,hovd,48.01,91.64,64.63,45,1,1.5,MN,1597106860
261,baiyin,36.56,104.21,68.0,100,40,2.24,CN,1597106860
262,lede,50.96,3.95,75.0,42,99,3.02,BE,1597106860
263,goure,13.98,10.27,75.0,89,100,1.99,NE,1597106861
264,lichuan,30.3,108.85,74.59,81,100,4.79,CN,1597106861
265,wanning,18.8,110.4,86.11,74,100,9.08,CN,1597106861
266,basco,20.45,121.97,84.74,80,100,15.12,PH,1597106861
267,codrington,-38.27,141.97,53.74,72,100,15.75,AU,1597106862
268,krasnoselkup,65.7,82.47,61.12,72,70,14.09,RU,1597106862
269,touros,-5.2,-35.46,73.4,83,46,6.93,BR,1597106862
270,te anau,-45.42,167.72,48.42,66,10,6.06,NZ,1597106862
271,isangel,-19.55,169.27,84.2,70,20,9.17,VU,1597106862
272,yuzhnouralsk,54.44,61.25,57.42,92,100,16.13,RU,1597106863
273,rawson,-43.3,-65.1,43.56,55,0,22.5,AR,1597106863
274,lagoa,39.05,-27.98,69.55,73,96,14.41,PT,1597106864
275,mogzon,51.74,111.96,59.13,88,100,2.08,RU,1597106864
276,bocanda,7.06,-4.5,69.78,94,100,6.13,CI,1597106864
277,salalah,17.02,54.09,78.8,88,75,4.7,OM,1597106864
278,ballina,-28.87,153.57,66.99,59,78,16.11,AU,1597106865
